"","State","PSTATABB","Region","STNAMEPCAP","STNGENAN","STNOXAN","STSO2AN","STCO2AN","STCO2EQA","STGENACL","STGENAOL","STGENAGS","STGENANC","STGENAHY","STGENABM","STGENAWI","STGENASO","STGENAGT","STGENAOF","STGENATR","STGENATN","medianAQI","medianHHI","SexRatio","pctEducation","DeathRate","pctRene"
"1","Alabama","AL","South East",30231.8,142731860.61,17449.724,9533.648,53581535.439,53843988.597,26900908.921,21914.988,54446405.435,46036489,11520809,3311245.284,0,493995,0,64.812,15326049.284,127405811.156,36,52035,93.6,0.34,1366.9,0.10737651158263
"2","Alaska","AK","Non-Contiguous",3043.8,6595817.773,20030.618,1493.177,3034124.337,3050447.931,752894.449,902485.641,3085396.015,0,1688900,38070.956,132212,0,0,0,1859182.956,4736635.105,13.5,77790,109.2,0.423,847.3,0.281873001951414
"3","Arizona","AZ","South West",31007.3,108500973.376,18970.83,7624.126,39321232.787,39473766.812,14300572.44,43534.025,47949485.521,31629862,6063749,210116.47,1600319,6710877.31,0,0,14585061.78,93915910.986,45,61529,98.8,0.343,1119.3,0.134423326595024
"4","Arkansas","AR","South East",16479.7,61100068.005,17006.885,35351.9,33205767.829,33395558.89,21418876.791,55531.967,20629133.622,13555684,4112385,858603.943,0,462281,0,8018.751,5433269.943,55666798.131,36,49475,96.4,0.347,1324.2,0.0889241226794605
"5","California","CA","Far West",86751.7,196943760.108,42853.829,1496.287,47168502.786,47315237.672,294153.809,76208.578,97240771.419,16477366,14358237.01,5395518.93,15177006.41,34852508.94,11127544,1538841.567,80910815.29,116032944.173,45,78672,98.9,0.313,849.3,0.410832083461949
"6","Colorado","CO","Rocky Mountain",20106.4,56832574.334,18069.584,10424.424,34580216.356,34797286.78,23602041.71,27809.174,14559773.11,0,1562810,169082.422,15125697,1724050.95,0,6452,18581640.372,38250933.994,45,75231,101.4,0.321,830.7,0.326954050379582
"7","Connecticut","CT","New England",11373.5,44079943.539,5038.069,738.43,11353743.056,11419608.04,244647.13,45949.53,24488901.602,17216509,478003.66,756853.927,12758,265188,0,571201.811,1512803.587,42567139.073,38,79855,95.2,0.294,952.2,0.0343195445715927
"8","Delaware","DE","Mid East",3598.8,4305126,784.598,681.473,1867343.907,1872868.42,276729.37,16747.374,3734202.886,0,0,73648,4849,57126,0,141823.37,135623,4169503,38,69110,93.6,0.344,1125.8,0.0315026784349633
"9","Florida","FL","South East",71335.4,246185265.397,37369.858,20665.543,102676194.857,103088075.184,18384803.902,1162018.346,182369320.869,28058287,251607,4227877.011,0,9034130,0,1633871.698,13513614.011,232671650.668,36.5,57703,95.7,0.317,1200,0.0548920504612973
"10","Georgia","GA","South East",41267.4,124199775.463,19369.003,15405.479,47076814.374,47346546.639,19076184.426,178943.722,56673114.689,33951976,3527315,5845584.998,0,4867699,0,78406.52,14240598.998,109959176.752,37,61224,94.7,0.332,1039.6,0.114658814357055
"11","Hawaii","HI","Non-Contiguous",3265.2,9180590.002,22256.984,25333.243,6844000.054,6897161.841,1084555.1,6155207.42,0,0,114971,282637.444,657891,505994,183391,198724.533,1744884.444,7435706.053,17,83173,100.6,0.408,889,0.19006234279277
"12","Idaho","ID","Rocky Mountain",5349.3,16834399.801,1383.264,495.387,2283925.802,2289134.257,16115.027,151.919,4935454.475,0,7995217.39,487534.376,2680206,564869,92941,0,11820767.766,5013632.421,30,58915,100.6,0.363,965.1,0.702179341451652
"13","Illinois","IL","Great Lakes",50981.7,181296445.222,27995.568,65437.971,59197719.057,59585066.811,42986127.221,53888.05,20649068.124,96994458,128565,364453.68,19133087.83,499548,0,243804.59,20125654.51,161170791.345,42,68428,96.6,0.3,986.8,0.111009647681486
