"","Region","PSTATABB","STNAMEPCAP","STNGENAN","STNOXAN","STSO2AN","STCO2AN","STCO2EQA","STGENACL","STGENAOL","STGENAGS","STGENANC","STGENAHY","STGENABM","STGENAWI","STGENASO","STGENAGT","STGENAOF"
"1","Non-Contiguous","AK",3043.8,6595817.773,20030.618,1493.177,3034124.337,3050447.931,752894.449,902485.641,3085396.015,0,1688900,38070.956,132212,0,0,0
"2","South East","AL",30231.8,142731860.61,17449.724,9533.648,53581535.439,53843988.597,26900908.921,21914.988,54446405.435,46036489,11520809,3311245.284,0,493995,0,64.812
"3","South East","AR",16479.7,61100068.005,17006.885,35351.9,33205767.829,33395558.89,21418876.791,55531.967,20629133.622,13555684,4112385,858603.943,0,462281,0,8018.751
"4","South West","AZ",31007.3,108500973.376,18970.83,7624.126,39321232.787,39473766.812,14300572.44,43534.025,47949485.521,31629862,6063749,210116.47,1600319,6710877.31,0,0
"5","Far West","CA",86751.7,196943760.108,42853.829,1496.287,47168502.786,47315237.672,294153.809,76208.578,97240771.419,16477366,14358237.01,5395518.93,15177006.41,34852508.94,11127544,1538841.567
"6","Rocky Mountain","CO",20106.4,56832574.334,18069.584,10424.424,34580216.356,34797286.78,23602041.71,27809.174,14559773.11,0,1562810,169082.422,15125697,1724050.95,0,6452
"7","New England","CT",11373.5,44079943.539,5038.069,738.43,11353743.056,11419608.04,244647.13,45949.53,24488901.602,17216509,478003.66,756853.927,12758,265188,0,571201.811
"8","Mid East","DC",52.3,184480.001,268.418,3.016,60110.253,60199.59,0,38.185,110451.293,0,0,55721.042,0,18269,0,0
"9","Mid East","DE",3598.8,4305126,784.598,681.473,1867343.907,1872868.42,276729.37,16747.374,3734202.886,0,0,73648,4849,57126,0,141823.37
"10","South East","FL",71335.4,246185265.397,37369.858,20665.543,102676194.857,103088075.184,18384803.902,1162018.346,182369320.869,28058287,251607,4227877.011,0,9034130,0,1633871.698
"11","South East","GA",41267.4,124199775.463,19369.003,15405.479,47076814.374,47346546.639,19076184.426,178943.722,56673114.689,33951976,3527315,5845584.998,0,4867699,0,78406.52
"12","Far West","HI",3265.2,9180590.002,22256.984,25333.243,6844000.054,6897161.841,1084555.1,6155207.42,0,0,114971,282637.444,657891,505994,183391,198724.533
"13","Plains","IA",23088.7,67198724.482,17797.784,26959.922,25835498.309,26020323.929,22106594.207,132090.496,6463643.913,0,971810,201483.026,37098274,224905.77,0,0
"14","Rocky Mountain","ID",5349.3,16834399.801,1383.264,495.387,2283925.802,2289134.257,16115.027,151.919,4935454.475,0,7995217.39,487534.376,2680206,564869,92941,0
"15","Great Lakes","IL",50981.7,181296445.222,27995.568,65437.971,59197719.057,59585066.811,42986127.221,53888.05,20649068.124,96994458,128565,364453.68,19133087.83,499548,0,243804.59
"16","Great Lakes","IN",31217.2,94126667.181,46674.404,39654.634,76835117.133,77321781.515,54447943.297,127750.972,27599551.065,0,387030,428995.264,7818917,572757,0,2278807.13
"17","Plains","KS",19603.4,56573059.816,16426.545,4375.095,23709367.701,23891943.852,19396168.82,149200.772,2662209.327,8574732,29947,58715,25636051,61058,0,0
"18","South East","KY",20930.8,69904814.122,32044.181,48157.881,60365818.634,60808816.86,49862729.27,66089.937,14571979.643,0,4876457,414735.91,0,42392,0,70430.325
"19","South East","LA",29280.8,97167796.19,31411.336,35853.667,40132344.246,40263346.36,7872951.49,3895634.818,62855366.795,17248674,1109178,1698435.957,0,146393,0,1808065.479
"20","New England","MA",15152.1,19429416.602,6384.808,2066.241,8271390.301,8350592.346,0,81147.02,15009932.065,0,693266.9,972911.5,208626.25,1539474.32,0,925646.328
"21","Mid East","MD",15002.7,38166718.985,4310.944,4608.163,13323785.261,13396598.177,5173978.93,71814.219,13909606.618,14993633,2117149,374835.772,517431,632049,0,378347.66
"22","New England","ME",5272,10900945.883,2163.253,1568.571,1640814.261,1686244.657,49996.237,31160.534,3347768.513,0,2540905,1965570.707,2544197,157564,0,168568.886
"23","Great Lakes","MI",32934.5,115299089.641,44888.622,54852.744,57866133.719,58242235.085,37053902.973,1149514.352,30496824.137,34338319,624618,2197074.174,7696887,421477,0,1320555.937
"24","Plains","MN",20080.6,59157704.839,16790.275,7574.444,24431331.898,24596482.178,15738907.127,105130.676,12790624.751,14122771,679124.59,1255841.606,12271314,1880776.37,0,255969.669
"25","Plains","MO",24065.6,76941409.993,51844.634,101232.648,62940389.562,63437423.963,57858267.94,258694.099,6058969.037,4292433,1698931,123732.012,6534345,116036,0,0
"26","South East","MS",16262.6,67723496.549,13618.632,4854.633,28239065.825,28320693.313,5530687.72,8246.552,48621025.051,11772058,0,1366548.768,0,424931,0,0
"27","Rocky Mountain","MT",6282.9,24947923.138,10620.69,13373.257,13035584.069,13135620.181,10876454.042,450731.179,528304.892,0,9258373,32282,3472646,33436,0,13018.095
"28","South East","NC",39161.4,129730297.061,25665.901,14544.761,43426174.814,43631986.598,20404638.317,194702.163,47409893.284,43117707,5812758,2022501.595,514703,9964873,0,44653.9
"29","Plains","ND",9997.8,43032366.995,28297.126,35258.987,28846456.644,29067553.11,24402790.8,33083.449,1577728.186,0,1989053,1764,14935203,0,0,47999.536
"30","Plains","NE",10780.9,37910897.991,18789.887,41204.305,21321856.391,21489970.045,18933616.79,55130.412,1173365.431,6880622,1123156,92473.264,9592039,60523,0,0
"31","New England","NH",4729.8,17193229.589,1290.796,377.949,2613731.892,2648144.856,284163.45,69947.13,4466076.048,9856117,1025006,928688.287,504230,3685,0,55316.677
"32","Mid East","NJ",19151.3,61421799.863,7029.885,1398.976,14769397.079,14837490.95,1026294.18,36983.507,29542815.134,28142099,-101853,699085.651,19729,1374534.99,0,667923.901
"33","South West","NM",11496.5,35073356.999,12629.159,2937.206,19891981.529,20006431.55,12536319,32057.341,9979006.347,0,122862,25682.987,10580735,1746106,50934,0
"34","Far West","NV",14537.7,41723320.004,10343.947,2672.995,14917658.451,14954964.808,2752473.17,8013.836,26129918,0,1944288,49964,339944,6553907,3917454,0
"35","Mid East","NY",43975.6,123769709.506,13088.289,2366.278,28178985.499,28282656.296,0,680616.435,55447801.093,31176583,28380177,1903310.872,4156369,1062202,0,975692.523
"36","Great Lakes","OH",32266,125609191.275,37733.04,76340.316,75879248.551,76298691.615,45662048.485,1125001.491,56054276.916,17483009,578290,642821.931,2586756,660921.2,0,820957.996
"37","South West","OK",32191.6,80754585.812,21893.982,16630.813,30426114.607,30551281.668,11246006.513,35177.93,33857237.543,0,2679235,318287.721,32540312.15,76618,0,1711.207
